task_id	name	hash	status	exit	cpus	memory	time	submit	start	complete	duration	%cpu	%mem	peak_rss	workdir
2	aachr (12)	e1/0bb523	CACHED	0	1	1073741824	3600000	1735707226500	1735707228483	1735707228489	1989	90.0	0.0	3399680	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/e1/0bb5233fc4c17f43ef1e06297b940d
1	aachr (14)	03/13cda8	CACHED	0	1	1073741824	3600000	1735707224703	1735707228451	1735707228457	3754	89.0	0.0	3411968	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/03/13cda89bc249ef6c70284880121aca
6	aachr (18)	cc/edd414	CACHED	0	1	1073741824	3600000	1735707229482	1735707233455	1735707233458	3976	83.0	0.0	3485696	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/cc/edd41491fdb4a2ed83a51e7069055c
3	aachr (17)	92/b79e6e	CACHED	0	1	1073741824	3600000	1735707235487	1735707238499	1735707238507	3020	78.7	0.0	3366912	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/92/b79e6edd3dca2af625c14a2ef7c91a
4	arcpresent (12)	83/3d7f96	CACHED	0	1	1073741824	3600000	1735707292564	1735707293488	1735708113532	820968	97.3	0.1	125337600	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/83/3d7f9622646a578570a238cab3f3de
5	arcpresent (14)	6f/f7815f	CACHED	0	1	1073741824	3600000	1735707289470	1735707293481	1735707853525	564055	97.0	0.1	117649408	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/6f/f7815fadabae906f6dcd8707d94446
7	aachr (15)	a6/ec8417	CACHED	0	1	1073741824	3600000	1735707232494	1735707238469	1735707238481	5987	82.1	0.0	3309568	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/a6/ec8417dd5842f45761e64f79dea9ba
9	aachr (2)	ab/a943bb	CACHED	0	1	1073741824	3600000	1735707238557	1735707243451	1735707243459	4902	90.0	0.0	3354624	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/ab/a943bb659c1078ded68890470e903e
11	yzone (12 DEN)	9f/d69593	CACHED	0	1	1073741824	7200000	1735708314659	1735708318592	1735709133562	818903	98.0	0.0	14864384	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/9f/d695935b2ece98d8d4e4e60acfbf8d
13	aachr (8)	21/f4a63f	CACHED	0	1	1073741824	3600000	1735707241494	1735707243465	1735707243470	1976	86.3	0.0	3317760	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/21/f4a63f0201ff8781e5deda86871783
15	arcpresent (17)	2b/040178	CACHED	0	1	1073741824	3600000	1735707301524	1735707303481	1735707753522	451998	97.1	0.1	117579776	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/2b/04017813ab75c8b7205bf715212403
10	yzone (12 AMB)	c8/c9a28d	CACHED	0	1	1073741824	7200000	1735708308659	1735708313556	1735709128557	819898	97.2	0.1	114335744	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/c8/c9a28d98cbc685eba6332429b49186
14	aachr (1)	b2/3f2ae5	CACHED	0	1	1073741824	3600000	1735707247559	1735707248467	1735707253457	5898	87.2	0.0	3293184	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/b2/3f2ae57f37f54d6b9d37bfdce4d438
8	arcpresent (18)	38/99f3da	CACHED	0	1	1073741824	3600000	1735707295466	1735707298479	1735707803522	508056	97.0	0.1	129110016	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/38/99f3da0750945519f5618b3679a865
17	aachr (21)	48/92f4e6	CACHED	0	1	1073741824	3600000	1735707244478	1735707248451	1735707248462	3984	73.0	0.0	3284992	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/48/92f4e60da666d3a97d73236a2a6be4
18	yzone (14 AMB)	31/b65748	CACHED	0	1	1073741824	7200000	1735707859572	1735707863565	1735708308531	448959	97.7	0.0	20324352	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/31/b657486c042fa9655c6c6a7afcadc8
16	arcpresent (15)	9c/8981b8	CACHED	0	1	1073741824	3600000	1735707298474	1735707303477	1735707788523	490049	97.2	0.1	127832064	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/9c/8981b86781782edc9abae22aa18947
12	yzone (12 NEA)	bd/779806	CACHED	0	1	1073741824	7200000	1735708311663	1735708313560	1735709138546	826883	97.6	0.1	108232704	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/bd/779806708243932f6dda32d503c30f
19	aachr (20)	f8/df51eb	CACHED	0	1	1073741824	3600000	1735707253479	1735707258453	1735707258456	4977	79.0	0.0	3485696	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/f8/df51eb56911da4b2b4bb10b18f6dd6
22	aachr (10)	0b/335db9	CACHED	0	1	1073741824	3600000	1735707250472	1735707253471	1735707253480	3008	85.9	0.0	3330048	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/0b/335db92f85ad4949b8d69be64b4d87
25	yzone (14 NEA)	e0/f56b2e	CACHED	0	1	1073741824	7200000	1735707862570	1735707868525	1735708308535	445965	97.7	0.0	15052800	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/e0/f56b2e70d62e1309f2bfa3cdef0b8a
20	arcpresent (2)	34/34ea0b	CACHED	0	1	1073741824	3600000	1735707304488	1735707308478	1735708818542	1514054	98.3	0.1	122556416	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/34/34ea0b777977142949e7cc11f840f7
21	yzone (14 DEN)	fa/04a044	CACHED	0	1	1073741824	7200000	1735707856570	1735707858532	1735708303535	446965	97.4	0.0	14827520	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/fa/04a04472cb2e99e945643267436a4f
24	aachr (9)	97/2869ca	CACHED	0	1	1073741824	3600000	1735707259469	1735707263459	1735707263462	3993	85.7	0.0	3346432	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/97/2869ca8001c6ab2b5a7257b6bf40e5
29	aachr (13)	47/c584aa	CACHED	0	1	1073741824	3600000	1735707256477	1735707258460	1735707263456	6979	84.9	0.0	3534848	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/RacimoUQ95_PIBv1_wPops/47/c584aa1b9d4ba3427c3d9a022c8d83
