SampleID	Region
B00FLG9	Oceania
B00FLGA	East_Asia
B00FLGB	Island_Southeast_Asia
B00FLGC	Island_Southeast_Asia
B00FLGD	Oceania
B00FLGE	East_Asia
B00FLGF	Island_Southeast_Asia
B00FLGG	Island_Southeast_Asia
B00FLGH	Oceania
B00FLGI	East_Asia
B00FLGJ	Island_Southeast_Asia
B00FLGK	Island_Southeast_Asia
B00FLGL	Oceania
B00FLGM	East_Asia
B00FLGN	Island_Southeast_Asia
B00FLGO	Island_Southeast_Asia
B00FLGP	Oceania
B00FLGQ	East_Asia
B00FLGR	Island_Southeast_Asia
B00FLGS	Island_Southeast_Asia
B00FLGT	Oceania
B00FLGU	East_Asia
B00FLGV	Island_Southeast_Asia
B00FLGW	Island_Southeast_Asia
B00FLGX	Oceania
B00FLGY	East_Asia
B00FLGZ	Island_Southeast_Asia
B00FLH0	Island_Southeast_Asia
B00FLH1	Oceania
B00FLH2	East_Asia
B00FLH3	Island_Southeast_Asia
B00FLH4	Island_Southeast_Asia
B00FLH5	Oceania
B00FLH6	East_Asia
B00FLH7	Island_Southeast_Asia
B00FLH8	Island_Southeast_Asia
B00FLH9	Oceania
B00FLHA	East_Asia
B00FLHB	Island_Southeast_Asia
B00FLHC	Island_Southeast_Asia
B00FLHD	Oceania
B00FLHE	East_Asia
B00FLHF	Island_Southeast_Asia
B00FLHG	Island_Southeast_Asia
B00FLHH	Oceania
B00FLHI	East_Asia
B00FLHJ	Island_Southeast_Asia
B00FLHK	Island_Southeast_Asia
B00FLHL	Oceania
B00FLHM	East_Asia
B00FLHN	Island_Southeast_Asia
B00FLHO	Island_Southeast_Asia
B00FLHP	Oceania
B00FLHQ	East_Asia
B00FLHR	Island_Southeast_Asia
B00FLHS	Island_Southeast_Asia
B00FLHU	East_Asia
B00FLHV	Island_Southeast_Asia
B00FLHW	Island_Southeast_Asia
B00FLHX	Oceania
B00FLHY	East_Asia
B00FLHZ	Island_Southeast_Asia
B00FLI0	Island_Southeast_Asia
B00FLI1	Oceania
B00FLI2	East_Asia
B00FLI3	Island_Southeast_Asia
B00FLI4	Island_Southeast_Asia
B00FLI5	Oceania
B00FLI7	Island_Southeast_Asia
B00FLI8	Island_Southeast_Asia
B00FLI9	Oceania
B00FLIA	East_Asia
B00FLIB	Island_Southeast_Asia
B00FLIC	Island_Southeast_Asia
B00FLID	Oceania
B00FLIE	East_Asia
B00FLIF	Island_Southeast_Asia
B00FLIG	Island_Southeast_Asia
B00FLIH	Oceania
B00FLIJ	Oceania
B00FLIN	Oceania
B00FLIR	Oceania
B00FLIL	Oceania
B00FLIV	Oceania
B00FLIZ	Oceania
B00FLJ3	Oceania
B00FLIP	Oceania
B00FLJ4	Oceania
B00FLJ7	Oceania
B00FLJ8	Oceania
B00FLIT	Oceania
B00FLS3	Oceania
B00FLS4	Oceania
B00FLS7	Oceania
B00FLIX	Oceania
B00FLS8	Oceania
B00FLSB	Oceania
B00FLSC	Oceania
B00FLJ1	Oceania
B00I2A0	Oceania
B00I2A1	Oceania
B00I2A2	Oceania
B00FLJ5	Oceania
B00I2A3	Oceania
B00I2A4	Oceania
B00I2A5	Oceania
B00FLS1	Oceania
B00I2A6	Oceania
B00I2A7	Oceania
B00I2A8	Oceania
B00FLS5	Oceania
B00I2A9	Oceania
B00I2AA	Oceania
B00I2AB	Oceania
B00FLS9	Oceania
B00I2AC	Oceania
B00I2AD	Oceania
B00I2AE	Oceania
B00I2AF	Oceania
B00I2AG	Oceania
B00I2AH	Oceania
B00I2DI	Oceania
B00I29Z	Oceania
B00FLSD	Oceania
B00I28U	Oceania
B00I28V	Oceania
B00I28W	Oceania
B00I28X	Oceania
B00I28Y	Oceania
B00I28Z	Oceania
B00I29A	Oceania
B00I29B	Oceania
B00I29C	Oceania
B00I29D	Oceania
B00I290	Oceania
B00I291	Oceania
B00I292	Oceania
B00I2AI	Oceania
B00I2AJ	Oceania
B00I2AL	Oceania
B00I2AM	Oceania
B00I2AN	Oceania
B00I2AO	Oceania
B00I2AP	Oceania
B00I2AQ	Oceania
B00I2AR	Oceania
B00I2AS	Oceania
B00I2AU	Oceania
B00I2AV	Oceania
B00I2AX	Oceania
B00I2AY	Oceania
B00I2B2	Oceania
B00I2B3	Oceania
B00I2B4	Oceania
B00I2B5	Oceania
B00I2B6	Oceania
B00I2B7	Oceania
B00I2B8	Oceania
B00I2B9	Oceania
B00I2BA	Oceania
B00I2BB	Oceania
B00I2BC	Oceania
B00I2BD	Oceania
B00I2BE	Oceania
B00I2BF	Oceania
B00I2BG	Oceania
B00I2BH	Oceania
B00I2BJ	Oceania
B00I2BL	Oceania
B00I2BM	Oceania
B00I2BN	Oceania
B00I2BP	Oceania
B00I2BQ	Oceania
B00I2BR	Oceania
B00I2BS	Oceania
B00I2BT	Oceania
B00I2BU	Oceania
B00I2BV	Oceania
B00I2BW	Oceania
B00I2BX	Oceania
B00I2BY	Oceania
B00I2BZ	Oceania
B00I2C0	Oceania
B00I2C1	Oceania
B00I2C2	Oceania
B00I2C3	Oceania
B00I2C4	Oceania
B00I293	Oceania
B00I294	Oceania
B00I295	Oceania
B00I296	Oceania
B00I297	Oceania
B00I298	Oceania
B00I299	Oceania
B00FLII	Oceania
B00FLIK	Oceania
B00FLIM	Oceania
B00FLIO	Oceania
B00FLIQ	Oceania
B00FLIS	Oceania
B00FLIU	Oceania
B00FLIW	Oceania
B00FLIY	Oceania
B00FLJ0	Oceania
B00FLJ2	Oceania
B00FLJ6	Oceania
B00FLS2	Oceania
B00FLS6	Oceania
B00FLSA	Oceania
B00I2CQ	Oceania
B00I2CR	Oceania
B00I2CS	Oceania
B00I2CT	Oceania
B00I2CU	Oceania
B00I2CV	Oceania
B00I2CW	Oceania
B00I2CX	Oceania
B00I2CY	Oceania
B00I2CZ	Oceania
B00I2D0	Oceania
B00I2D1	Oceania
B00I2D2	Oceania
B00I2D3	Oceania
B00I2D4	Oceania
B00I2D5	Oceania
B00I2D6	Oceania
B00I2D7	Oceania
B00I2D8	Oceania
B00I2D9	Oceania
B00I2DA	Oceania
B00I2DB	Oceania
B00I2DC	Oceania
B00I2DD	Oceania
B00I2DE	Oceania
B00I2DF	Oceania
B00I2DG	Oceania
B00I2DH	Oceania
B00I2C6	Oceania
B00I2C7	Oceania
B00I2C8	Oceania
B00I2C9	Oceania
B00I2CA	Oceania
B00I2CB	Oceania
B00I2CC	Oceania
B00I2CD	Oceania
B00I2CE	Oceania
B00I2CF	Oceania
B00I2CG	Oceania
B00I2CH	Oceania
B00I2CI	Oceania
B00I2CJ	Oceania
B00I2CK	Oceania
B00I2CL	Oceania
B00I2CM	Oceania
B00I2CN	Oceania
B00I2CO	Oceania
B00I2CP	Oceania
