task_id	name	hash	status	exit	cpus	memory	time	submit	start	complete	duration	%cpu	%mem	peak_rss	workdir
21	run_sim (21)	bc/adcfc1	COMPLETED	0	1	8589934592	10800000	1764900369152	1764900373476	1764900748498	379346	96.6	0.1	930287616	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/bc/adcfc10e63c62e15769edd98d7af34
24	vcfsubset (Papuan chr21)	64/3e417d	COMPLETED	0	1	4294967296	3600000	1764900760164	1764900763500	1764900788496	28332	91.8	0.0	81862656	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/64/3e417da13cd611e67107fb64eb8aff
25	pbs (Papuan 21)	24/4627c9	COMPLETED	0	1	17179869184	3600000	1764900754192	1764900758504	1764900808502	54310	94.6	0.1	1641680896	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/24/4627c9464480e85781a4f08275b3af
22	run_sim (22)	23/1cc5bb	COMPLETED	0	1	8589934592	10800000	1764900375282	1764900378498	1764900898505	523223	96.9	0.1	1008459776	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/23/1cc5bba8c50daff048071a9ec9a9a9
27	vcfsubset (Papuan chr22)	fa/fdcc97	COMPLETED	0	1	4294967296	3600000	1764900903726	1764900908503	1764900928509	24783	93.3	0.0	82198528	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/fa/fdcc975a8ac0a19c9c2d5378641c43
28	pbs (Papuan 22)	90/22e5a4	COMPLETED	0	1	17179869184	3600000	1764900909662	1764900913509	1764900963507	53845	96.6	0.1	1610989568	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/90/22e5a4d7ea54c5be1d6815965da5ed
23	xpehh (Papuan 21)	fe/a42080	COMPLETED	0	4	34359738368	10800000	1764900749258	1764900753497	1764901058508	309250	184.5	0.1	1245593600	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/fe/a420807376c51e3d7a9ffc8aa80846
26	xpehh (Papuan 22)	2b/0328d4	COMPLETED	0	4	34359738368	10800000	1764900898758	1764900903504	1764901188519	289761	188.3	0.1	1201496064	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/2b/0328d4b57f4c879cea304acc1d8098
20	run_sim (20)	54/67f36b	COMPLETED	0	1	8589934592	10800000	1764900363131	1764900368475	1764901308522	945391	97.5	0.1	889651200	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/54/67f36bf5a410fe344d0533acf6b156
31	vcfsubset (Papuan chr20)	b3/9d906c	COMPLETED	0	1	4294967296	3600000	1764901319734	1764901323523	1764901363523	43789	94.3	0.0	81735680	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/b3/9d906cd64885e0c0b1b588eab379f0
29	pbs (Papuan 20)	37/6d1ed7	COMPLETED	0	1	17179869184	3600000	1764901313725	1764901318519	1764901408521	94796	92.4	0.2	2806337536	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/37/6d1ed7db078b9c1aca8ab2eb55fc5d
19	run_sim (19)	75/0db039	COMPLETED	0	1	8589934592	10800000	1764900357141	1764900358494	1764901443527	1086386	97.6	0.1	854241280	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/75/0db0390b01129e6649ab2aa17c269a
33	vcfsubset (Papuan chr19)	dc/2d7c69	COMPLETED	0	1	4294967296	3600000	1764901443776	1764901448544	1764901483529	39753	93.9	0.0	82026496	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/dc/2d7c69a9e2da62d55b729b2f1b2f1e
34	pbs (Papuan 19)	e6/42c746	COMPLETED	0	1	17179869184	3600000	1764901454688	1764901458562	1764901538530	83842	94.8	0.2	2530258944	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/e6/42c746ff0988968bf144db9a563b25
13	run_sim (13)	16/bc9d7a	COMPLETED	0	1	8589934592	10800000	1764900321148	1764900328473	1764901573532	1252384	97.5	0.1	1399808000	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/16/bc9d7ab3fc9e4f9b37ab670d48d031
37	vcfsubset (Papuan chr13)	db/b00563	COMPLETED	0	1	4294967296	3600000	1764901578725	1764901583533	1764901633540	54815	94.6	0.0	81616896	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/db/b00563c8891b71643c7f8bb8cf7344
36	pbs (Papuan 13)	25/a22c03	COMPLETED	0	1	17179869184	3600000	1764901573778	1764901578562	1764901728546	154768	93.9	0.4	4108947456	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/25/a22c03efbbb8d9f775651b2bed03b1
14	run_sim (14)	99/72de0a	COMPLETED	0	1	8589934592	10800000	1764900327115	1764900333488	1764901728539	1401424	98.3	0.1	1813532672	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/99/72de0a22f0cd88e365936775d369b1
39	vcfsubset (Papuan chr14)	b9/01839e	COMPLETED	0	1	4294967296	3600000	1764901733714	1764901738539	1764901783545	49831	95.3	0.0	82055168	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/b9/01839e73cd5a2b26b557f18ae3bb10
38	pbs (Papuan 14)	7f/48e238	COMPLETED	0	1	17179869184	3600000	1764901728836	1764901733540	1764901848554	119718	96.3	0.3	3792171008	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/7f/48e238515e335f6e44f6d0ab121264
18	run_sim (18)	91/c0184f	COMPLETED	0	1	8589934592	10800000	1764900351130	1764900353478	1764901858560	1507430	98.2	0.1	1021997056	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/91/c0184fa6d68e6679cd861d8e07178a
30	xpehh (Papuan 20)	df/e160c2	COMPLETED	0	4	34359738368	10800000	1764901308823	1764901313523	1764901878574	569751	188.4	0.2	2137587712	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/df/e160c29c42b87d44f05e859e9adb57
42	vcfsubset (Papuan chr18)	d1/ce738a	COMPLETED	0	1	4294967296	3600000	1764901863726	1764901868547	1764901908547	44821	95.0	0.0	81813504	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/d1/ce738a908568f3d9bea829fafd4f27
32	xpehh (Papuan 19)	30/b4a541	COMPLETED	0	4	34359738368	10800000	1764901448690	1764901453534	1764901963550	514860	189.3	0.2	1940672512	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/30/b4a5414248919f53590534af895f7e
17	run_sim (17)	76/5b4959	COMPLETED	0	1	8589934592	10800000	1764900339166	1764900343480	1764901983551	1644385	98.4	0.1	1426857984	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/76/5b4959b6496cb0e60aa1eb336b5a25
41	pbs (Papuan 18)	a5/0554c5	COMPLETED	0	1	17179869184	3600000	1764901869748	1764901873547	1764902008551	138803	97.0	0.3	3497283584	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/a5/0554c570c33b670b1bcd22dc236f22
45	vcfsubset (Papuan chr17)	46/98affe	COMPLETED	0	1	4294967296	3600000	1764901988660	1764901993550	1764902043555	54895	94.9	0.0	86528000	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/46/98affe4b7544c0d0f93032f0b998ca
44	pbs (Papuan 17)	c8/0579c5	COMPLETED	0	1	17179869184	3600000	1764901983802	1764901988551	1764902108555	124753	96.7	0.3	3631964160	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/c8/0579c554bfcf94ceec59bd4b1bbe9f
16	run_sim (16)	00/6f670f	COMPLETED	0	1	8589934592	10800000	1764900345124	1764900348478	1764902148556	1803432	98.4	0.2	1790369792	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/00/6f670f6d85e20f1352b2cf2f739d0e
48	vcfsubset (Papuan chr16)	f0/3d636f	COMPLETED	0	1	4294967296	3600000	1764902153676	1764902158572	1764902203559	49883	94.9	0.0	81960960	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/f0/3d636fe3a4467044ccc2632838e5b9
49	pbs (Papuan 16)	c0/398868	COMPLETED	0	1	17179869184	3600000	1764902159671	1764902163560	1764902288560	128889	96.8	0.3	3799064576	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/c0/39886805eb7b05eb66fe32b37772c7
15	run_sim (15)	08/c2e514	COMPLETED	0	1	8589934592	10800000	1764900333138	1764900338477	1764902318563	1985425	98.4	0.1	1129209856	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/08/c2e51421c361de44042dedc5ed04cd
51	vcfsubset (Papuan chr15)	84/d36e81	COMPLETED	0	1	4294967296	3600000	1764902318822	1764902323561	1764902368570	49748	94.2	0.0	81965056	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/84/d36e81a294042e3b6a4aff3e8cb62d
50	pbs (Papuan 15)	6f/65c281	COMPLETED	0	1	17179869184	3600000	1764902323654	1764902328563	1764902458569	134915	91.2	0.3	3532214272	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/6f/65c281ae10d64cb7bd1c1577718f94
35	xpehh (Papuan 13)	73/54a9cf	COMPLETED	0	4	34359738368	10800000	1764901584726	1764901588539	1764902538567	953841	200.5	0.3	3138600960	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/73/54a9cf584d804f8ab8071e4fb6d072
40	xpehh (Papuan 14)	e2/7f7095	COMPLETED	0	4	34359738368	10800000	1764901739700	1764901743542	1764902563569	823869	190.3	0.2	2874920960	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/e2/7f709505ace8677f4eded103e94e95
43	xpehh (Papuan 18)	9c/a51674	COMPLETED	0	4	34359738368	10800000	1764901858792	1764901863563	1764902603597	744805	179.7	0.2	2648879104	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/9c/a516749035ee86e5bb0f61466439e6
46	xpehh (Papuan 17)	91/6ab9a7	COMPLETED	0	4	34359738368	10800000	1764901994762	1764901998591	1764902828598	833836	186.3	0.2	2739392512	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/91/6ab9a744ec91d0187c756a5249f3e1
11	run_sim (11)	b0/8ad4ed	COMPLETED	0	1	8589934592	10800000	1764900309126	1764900313466	1764902908578	2599452	98.6	0.2	2549063680	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/b0/8ad4ed5e63060ba27b13faef83bea1
8	run_sim (8)	31/fad456	COMPLETED	0	1	8589934592	10800000	1764900291155	1764900293470	1764902933580	2642425	98.7	0.1	1595617280	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/31/fad4565e1eba6741283a80c188b6cb
47	xpehh (Papuan 16)	23/fb9707	COMPLETED	0	4	34359738368	10800000	1764902148745	1764902153556	1764902958589	809844	188.9	0.2	2884231168	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/23/fb97074f404a05633346850e4ba1dc
54	vcfsubset (Papuan chr11)	fb/e6d926	COMPLETED	0	1	4294967296	3600000	1764902913705	1764902918587	1764902988589	74884	95.6	0.0	82026496	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1c/fb/e6d92661a36529f3b77c64d413201e
