task_id	name	hash	status	exit	cpus	memory	time	submit	start	complete	duration	%cpu	%mem	peak_rss	workdir
21	run_sim (21)	08/1531b2	COMPLETED	0	1	8589934592	10800000	1764881130400	1764881768901	1764882218918	1088518	96.1	0.3	798720000	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/08/1531b21c11b24cee61575f1580fd3b
22	run_sim (22)	98/f40094	COMPLETED	0	1	8589934592	10800000	1764881124409	1764881753928	1764882228918	1104509	96.7	0.1	946044928	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/98/f40094ef5286fa35e9054d75041bfc
24	vcfsubset (Papuan chr21)	a0/983c9f	COMPLETED	0	1	4294967296	3600000	1764882219639	1764882348918	1764882368918	149279	91.6	0.0	81944576	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/a0/983c9ffd020a0025b509188ef25875
26	vcfsubset (Papuan chr22)	e4/4d4d70	COMPLETED	0	1	4294967296	3600000	1764882236583	1764882348930	1764882368940	132357	92.1	0.0	81936384	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/e4/4d4d7059d910e4fd541893659a020e
27	pbs (Papuan 22)	4f/a90d94	COMPLETED	0	1	17179869184	3600000	1764882248577	1764882348938	1764882413921	165344	67.4	0.1	1610457088	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/4f/a90d94f388033f17171f0d6b40568c
23	pbs (Papuan 21)	ee/67f07f	COMPLETED	0	1	17179869184	3600000	1764882230580	1764882348926	1764882418920	188340	67.6	0.1	1629474816	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/ee/67f07f46d3b85c71e62debda98030a
25	xpehh (Papuan 21)	50/b64b11	COMPLETED	0	4	34359738368	10800000	1764882224601	1764882348923	1764882668938	444337	173.1	0.1	1222602752	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/50/b64b118f7383865cfc152a6cc31f73
20	run_sim (20)	b7/2efce7	COMPLETED	0	1	8589934592	10800000	1764881112402	1764881753916	1764882668930	1556528	97.7	0.1	891899904	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/b7/2efce741bbc161b7628ebaf9797a8e
28	xpehh (Papuan 22)	f7/4aef40	COMPLETED	0	4	34359738368	10800000	1764882242576	1764882348934	1764882668941	426365	169.3	0.1	1201307648	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/f7/4aef40087342da9606a4c9b7bef627
19	run_sim (19)	72/9791dc	COMPLETED	0	1	8589934592	10800000	1764881118417	1764881753922	1764882738931	1620514	97.6	0.1	1201807360	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/72/9791dcca88215b33b1adb9004de4ec
29	vcfsubset (Papuan chr20)	95/a0bd6b	COMPLETED	0	1	4294967296	3600000	1764882669181	1764882798929	1764882833932	164751	94.7	0.0	81895424	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/95/a0bd6b2f8cade7a8fc7d49c77b57a1
34	vcfsubset (Papuan chr19)	c3/5167b0	COMPLETED	0	1	4294967296	3600000	1764882750054	1764882798955	1764882833937	83883	94.0	0.0	82010112	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/c3/5167b0751731b375e3be9aa0f50bb2
32	pbs (Papuan 19)	15/70aec0	COMPLETED	0	1	17179869184	3600000	1764882739207	1764882798946	1764882878949	139742	92.3	0.2	2608607232	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/15/70aec0e15ede0a7d13e37b3715567c
31	pbs (Papuan 20)	22/1cd36a	COMPLETED	0	1	17179869184	3600000	1764882680068	1764882798941	1764882888935	208867	92.8	0.2	2813915136	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/22/1cd36aabb5d08fe867d08082f0e109
17	run_sim (17)	bd/ecf768	COMPLETED	0	1	8589934592	10800000	1764881100472	1764881753900	1764882893934	1793462	98.1	0.1	1082048512	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/bd/ecf768baaaa754cde64f7623226ea7
18	run_sim (18)	eb/41fdce	COMPLETED	0	1	8589934592	10800000	1764881106411	1764881753906	1764882993939	1887528	98.1	0.1	1290555392	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/eb/41fdceb87831e32d7913d8bc49236e
37	vcfsubset (Papuan chr17)	15/f337d7	COMPLETED	0	1	4294967296	3600000	1764882905048	1764882948950	1764882993956	88908	95.0	0.0	81809408	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/15/f337d7db86d3a29597025a279060f3
14	run_sim (14)	4e/403448	COMPLETED	0	1	8589934592	10800000	1764881076412	1764881733959	1764883033939	1957527	98.1	0.1	1069957120	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/4e/403448fac6f3613ba22d6cbe5fbb48
35	pbs (Papuan 17)	ab/7b0c30	COMPLETED	0	1	17179869184	3600000	1764882894140	1764882948940	1764883063940	169800	95.6	0.3	3621527552	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/ab/7b0c3083b03644442a59e28e6bc7e0
38	vcfsubset (Papuan chr18)	88/2c1565	COMPLETED	0	1	4294967296	3600000	1764882994110	1764883043939	1764883083938	89828	95.4	0.0	82280448	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/88/2c1565823965a6a3a665392007ac04
41	vcfsubset (Papuan chr14)	68/bfbeff	COMPLETED	0	1	4294967296	3600000	1764883039071	1764883043960	1764883088940	49869	95.3	0.0	81899520	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/68/bfbeff310debb666c03138a0dd5484
15	run_sim (15)	6d/b4056a	COMPLETED	0	1	8589934592	10800000	1764881094424	1764881738934	1764883138942	2044518	98.2	0.1	1130086400	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/6d/b4056a1bd2c9a2645b42263b401bc1
40	pbs (Papuan 18)	e6/3dd56a	COMPLETED	0	1	17179869184	3600000	1764883005045	1764883043948	1764883153945	148900	95.7	0.2	3489607680	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/e6/3dd56a437a7f8277cd473b49c168a8
13	run_sim (13)	51/226438	COMPLETED	0	1	8589934592	10800000	1764881082403	1764881733962	1764883163941	2081538	98.1	0.1	1140809728	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/51/226438f2a8f83bb11eea20c873a516
42	pbs (Papuan 14)	cc/64a654	COMPLETED	0	1	17179869184	3600000	1764883045076	1764883048955	1764883168941	123865	95.8	0.3	3791450112	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/cc/64a65437fabb384ad59c4f17803e56
44	vcfsubset (Papuan chr15)	f9/6f4cdc	COMPLETED	0	1	4294967296	3600000	1764883139079	1764883143959	1764883188944	49865	94.3	0.0	81948672	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/f9/6f4cdc8a84e733954954cc845bf422
47	vcfsubset (Papuan chr13)	51/6209ad	COMPLETED	0	1	4294967296	3600000	1764883164111	1764883168947	1764883228948	64837	95.1	0.0	82026496	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/51/6209ad3bc8692f5b154666f2cdbe7a
45	pbs (Papuan 15)	0a/b459ed	COMPLETED	0	1	17179869184	3600000	1764883144072	1764883148957	1764883258944	114872	95.5	0.3	3538264064	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/0a/b459edafab7ebe3317de862ab8a276
16	run_sim (16)	e1/851c61	COMPLETED	0	1	8589934592	10800000	1764881088408	1764881738928	1764883288944	2200536	98.1	0.1	1969389568	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/e1/851c615b7a99073e35e39207abca49
49	pbs (Papuan 13)	b8/362f37	COMPLETED	0	1	17179869184	3600000	1764883169076	1764883173942	1764883298959	129883	97.4	0.3	4112609280	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/b8/362f375819dfcc2d089f71db506aff
33	xpehh (Papuan 19)	72/e62472	COMPLETED	0	4	34359738368	10800000	1764882744074	1764882798951	1764883323947	579873	187.1	0.2	1951010816	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/72/e62472d7d171e17c458247d41d1440
30	xpehh (Papuan 20)	87/0153b2	COMPLETED	0	4	34359738368	10800000	1764882674073	1764882798935	1764883373945	699872	186.0	0.2	2152566784	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/87/0153b287d71c665c36b102ed0bd0d5
52	vcfsubset (Papuan chr16)	77/e7c8d4	COMPLETED	0	1	4294967296	3600000	1764883300180	1764883363968	1764883408947	108767	95.6	0.0	82042880	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/77/e7c8d411e121174c796df302e4545b
50	pbs (Papuan 16)	f9/47acce	COMPLETED	0	1	17179869184	3600000	1764883289064	1764883363960	1764883483964	194900	97.4	0.3	3816308736	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_1b/f9/47acce4377c296720e46239fc9685c
