task_id	name	hash	status	exit	cpus	memory	time	submit	start	complete	duration	%cpu	%mem	peak_rss	workdir
22	run_sim (22)	63/5ffc96	COMPLETED	0	1	8589934592	10800000	1761454295234	1761454299514	1761454694527	399293	97.0	0.0	575574016	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/63/5ffc96e3c3fec2efd8a01e928423b8
23	vcfsubset (Papuan chr22)	42/dbb4ad	COMPLETED	0	1	4294967296	3600000	1761454706291	1761454709526	1761454739528	33237	92.7	0.0	81825792	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/42/dbb4ad71b3281e1393d5054624e836
24	pbs (Papuan 22)	63/5266ee	COMPLETED	0	1	17179869184	3600000	1761454700293	1761454704556	1761454764548	64255	85.0	0.1	1605451776	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/63/5266ee8c2cfd52562024136e88ba17
21	run_sim (21)	64/5a1d59	COMPLETED	0	1	8589934592	10800000	1761454301162	1761454309783	1761454764535	463373	91.4	0.1	791494656	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/64/5a1d59ffbb95fcf4a78b75fffd2989
28	vcfsubset (Papuan chr21)	7e/1e7790	COMPLETED	0	1	4294967296	3600000	1761454775858	1761454779533	1761454809534	33676	93.8	0.0	98840576	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/7e/1e779074f276064a7139ae6276216f
26	pbs (Papuan 21)	05/6e985e	COMPLETED	0	1	17179869184	3600000	1761454769856	1761454774527	1761454824565	54709	95.7	0.1	1646858240	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/05/6e985e7da97c5f9fd457f0a4cfebdd
25	xpehh (Papuan 22)	f1/54c6f3	COMPLETED	0	1	25769803776	7200000	1761454695343	1761454699553	1761454859535	164192	94.8	0.2	3097526272	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/f1/54c6f3fcec7c6a0c457511b3a5047d
27	xpehh (Papuan 21)	96/e830c4	COMPLETED	0	1	25769803776	7200000	1761454764832	1761454769529	1761454934537	169705	97.2	0.2	3226931200	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/96/e830c433779739529997c8643436ef
19	run_sim (19)	a9/8015b7	COMPLETED	0	1	8589934592	10800000	1761454277174	1761454279517	1761455254590	977416	97.9	0.1	853135360	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/a9/8015b74f7191300a7b06009e386aaf
31	vcfsubset (Papuan chr19)	73/1e7fa2	COMPLETED	0	1	4294967296	3600000	1761455265870	1761455269547	1761455309551	43681	94.0	0.0	81694720	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/73/1e7fa2dc3ac32166173bca73887965
30	pbs (Papuan 19)	30/e0e2c2	COMPLETED	0	1	17179869184	3600000	1761455259973	1761455264581	1761455344552	84579	94.7	0.2	2530603008	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/30/e0e2c2042cce064fadb09b34253702
20	run_sim (20)	c0/446070	COMPLETED	0	1	8589934592	10800000	1761454289196	1761454294519	1761455379554	1090358	98.2	0.1	888139776	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/c0/44607032954e8a353d40f20bcd5167
33	vcfsubset (Papuan chr20)	38/d4452a	COMPLETED	0	1	4294967296	3600000	1761455384877	1761455389559	1761455434561	49684	94.6	0.0	81731584	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/38/d4452aafd46dbbd9820acecca862ad
34	pbs (Papuan 20)	b7/ab6245	COMPLETED	0	1	17179869184	3600000	1761455379983	1761455384579	1761455504588	124605	95.2	1.3	2796404736	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/b7/ab6245223ed0d0ec2ebbe62123744f
29	xpehh (Papuan 19)	d1/461790	COMPLETED	0	1	25769803776	7200000	1761455254968	1761455259547	1761455524562	269594	97.8	0.5	5078163456	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/d1/461790c0f8225e8ba4c477eec1271e
18	run_sim (18)	74/d945bc	COMPLETED	0	1	8589934592	10800000	1761454283168	1761454284516	1761455614563	1331395	98.1	0.4	1022705664	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/74/d945bc8a03d42f89accddcf84057aa
14	run_sim (14)	58/95be3f	COMPLETED	0	1	8589934592	10800000	1761454253170	1761454259540	1761455619563	1366393	98.1	0.5	1335037952	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/58/95be3fe967b2bed535102ebcd4ff57
37	vcfsubset (Papuan chr18)	dc/e985b3	COMPLETED	0	1	4294967296	3600000	1761455625783	1761455629563	1761455674570	48787	95.3	0.0	81743872	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/dc/e985b3616529d6de5a53aa0953e9de
32	xpehh (Papuan 20)	6a/f821d7	COMPLETED	0	1	25769803776	7200000	1761455390903	1761455394559	1761455679566	288663	98.2	0.4	5575708672	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/6a/f821d77f201cf7c91f9144e9b856ac
39	vcfsubset (Papuan chr14)	57/86d523	COMPLETED	0	1	4294967296	3600000	1761455643782	1761455644577	1761455704570	60788	95.8	0.0	81481728	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/57/86d5232d32b3bff13ed53bc7d3bf5a
35	pbs (Papuan 18)	dc/b4cfed	COMPLETED	0	1	17179869184	3600000	1761455614869	1761455619569	1761455759576	144707	96.6	1.3	3513933824	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/dc/b4cfed87fb41c9e6aae0f8a207c15d
38	pbs (Papuan 14)	64/9f6fbd	COMPLETED	0	1	17179869184	3600000	1761455631783	1761455634566	1761455759600	127817	97.1	0.3	3784101888	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/64/9f6fbd2d833249ba19b0264105ef8d
13	run_sim (13)	27/9fd6b9	COMPLETED	0	1	8589934592	10800000	1761454247181	1761454249513	1761455779617	1532436	98.0	0.6	1369858048	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/27/9fd6b976b7c73bac26ff979e240cc9
17	run_sim (17)	c6/248ad5	COMPLETED	0	1	8589934592	10800000	1761454265232	1761454269509	1761455844572	1579340	98.4	0.1	1422532608	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/c6/248ad5b9f1c07dd9121f71fbd4f0d0
42	vcfsubset (Papuan chr13)	14/7074bf	COMPLETED	0	1	4294967296	3600000	1761455784722	1761455789574	1761455849575	64853	95.2	0.0	81711104	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/14/7074bf57789c5f6b65a9b105357eac
45	vcfsubset (Papuan chr17)	d6/585795	COMPLETED	0	1	4294967296	3600000	1761455849816	1761455854578	1761455909578	59762	94.2	0.0	81608704	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/d6/58579527566fce6cf7c4aebece416c
41	pbs (Papuan 13)	b6/cc2802	COMPLETED	0	1	17179869184	3600000	1761455779776	1761455784572	1761455939576	159800	97.0	1.6	4091568128	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/b6/cc28020db66dec8c66deda574fb118
46	pbs (Papuan 17)	3e/82c1fd	COMPLETED	0	1	17179869184	3600000	1761455855897	1761455859575	1761455979579	123682	96.6	0.3	3639828480	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/3e/82c1fdcc78ffb63b04074d1995e739
36	xpehh (Papuan 18)	ad/cd0255	COMPLETED	0	1	25769803776	7200000	1761455619809	1761455624606	1761455989578	369769	98.4	0.6	7043653632	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/ad/cd0255634ebd6583dc9b59a71b0c7d
16	run_sim (16)	fc/276494	COMPLETED	0	1	8589934592	10800000	1761454271198	1761454279508	1761456009576	1738378	98.5	0.1	1135173632	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/fc/27649465865174866f0852fbc490f8
40	xpehh (Papuan 14)	d1/47f561	COMPLETED	0	1	25769803776	7200000	1761455637875	1761455644567	1761456039579	401704	98.2	0.6	7555862528	/gpfs/gibbs/pi/tucci/pfr8/nextflow_scratch/PIBv1_sims_9/d1/47f5616bc20ad5e892b6ec6964e3e5
